category,skills
Cloud Jobs,"['oracle reports', 'oracle erp', 'oracle', 'cloud']"
Cloud Jobs,"['testing', 'cloud']"
Cloud Jobs,"['aws', 'azure', 'cloud']"
Cloud Jobs,"['agile', 'scrum']"
Cloud Jobs,"['fusion', 'cloud', 'otl', 'oracle', 'techno']"
Cloud Jobs,"['linux', 'cloud']"
Cloud Jobs,"['otl', 'oracle', 'fusion', 'cloud']"
Cloud Jobs,"['security', 'network security', 'cloud']"
Cloud Jobs,[]
Cloud Jobs,"['finance', 'oracle', 'fusion', 'cloud']"
Cloud Jobs,"['linux', 'cloud', 'windows administration', 'windows', 'storage', 'aws']"
Cloud Jobs,"['python', 'cloud', 'spark', 'sql', 'aws']"
Cloud Jobs,"['python', 'linux', 'management system', 'ubuntu', 'patch management', 'perl']"
Cloud Jobs,"['java', 'salesforce', 'jenkins', 'functional testing', 'selenium', 'cloud', 'maven', 'api', 'api testing', 'testing', 'cucumber']"
Git Jobs,"['macos', 'angular', 'firebase']"
Git Jobs,"['git', 'salesforce', 'lightning']"
Git Jobs,"['apache spark', 'python', 's3', 'scala', 'glue', 'spark', 'ec2', 'aws', 'apache']"
Git Jobs,"['jenkins', 'git', 'docker', 'artifactory', 'kubernetes', 'architecture', 'aws']"
Git Jobs,"['javascript', 'ionic', 'git', 'html', 'interfaces', 'emberjs', 'scrum', 'css', 'angular']"
Git Jobs,['reactjs']
Git Jobs,"['appdynamics', 'jenkins', 'ecs', 'groovy', 'sonar', 'git', 'kubernetes', 'devops', 'bitbucket', 'docker', 'rlm']"
Git Jobs,"['spring security', 'java', 'cassandra', 'security', 'spring boot', 'boot', 'spring', 'microservices', 'redis', 'kafka']"
Git Jobs,"['moodle', 'xml', 'php', 'json', 'git']"
Git Jobs,"['java', 'hibernate', 'git', 'maven', 'spring', 'jpa', 'suite', 'sql']"
